"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Dec-2021","EQ","689.00","715.25","681.15","690.25","710.70","707.60","700.34","1,138.00","562.50",772005,"540,664,055.35",27478
"01-Dec-2021","EQ","665.00","702.40","656.20","653.60","690.25","690.25","688.80","1,138.00","562.50",1990574,"1,371,104,601.30",69619
"30-Nov-2021","EQ","689.25","697.95","644.55","681.95","653.00","653.60","671.81","1,138.00","562.50",641750,"431,133,534.20",33998
"29-Nov-2021","EQ","691.00","703.50","675.05","703.80","679.50","681.95","690.02","1,138.00","562.50",421747,"291,014,529.05",18761
"26-Nov-2021","EQ","743.50","743.50","700.00","744.10","701.00","703.80","716.96","1,138.00","562.50",669205,"479,792,520.00",29725
"25-Nov-2021","EQ","731.00","754.00","702.05","723.00","751.50","744.10","729.24","1,138.00","562.50",1065788,"777,217,047.45",42851
"24-Nov-2021","EQ","714.15","733.45","713.00","712.70","720.70","723.00","725.72","1,138.00","562.50",393598,"285,640,396.15",14031
"23-Nov-2021","EQ","686.20","727.00","686.20","697.35","712.90","712.70","712.08","1,138.00","562.50",403511,"287,333,700.40",18850
"22-Nov-2021","EQ","710.35","729.95","687.95","714.80","697.00","697.35","706.82","1,138.00","562.50",479722,"339,077,558.45",27672
"18-Nov-2021","EQ","750.10","754.80","711.00","746.85","712.50","714.80","725.38","1,138.00","562.50",511438,"370,987,340.90",23361
"17-Nov-2021","EQ","768.00","768.85","745.00","766.70","747.00","746.85","752.18","1,138.00","562.50",357444,"268,863,244.20",15679
"16-Nov-2021","EQ","778.00","778.00","763.30","774.15","764.50","766.70","768.87","1,138.00","562.50",229597,"176,531,105.35",9189
"15-Nov-2021","EQ","788.00","790.00","768.35","785.55","773.00","774.15","775.53","1,138.00","562.50",238297,"184,806,146.35",9970
"12-Nov-2021","EQ","774.30","791.00","767.30","767.45","784.00","785.55","779.82","1,138.00","562.50",448485,"349,736,987.10",19115
"11-Nov-2021","EQ","785.00","785.85","757.00","784.30","772.95","767.45","765.09","1,138.00","562.50",667837,"510,957,666.90",19811
"10-Nov-2021","EQ","778.05","794.00","776.70","776.50","781.00","784.30","787.20","1,138.00","562.50",623672,"490,955,565.80",33307
"09-Nov-2021","EQ","779.60","788.80","773.80","776.50","775.05","776.50","779.68","1,138.00","562.50",305651,"238,310,054.55",17167
"08-Nov-2021","EQ","795.00","796.55","773.20","794.70","776.40","776.50","778.67","1,138.00","562.50",340889,"265,438,885.30",16200
"04-Nov-2021","EQ","780.00","799.00","777.45","775.60","794.95","794.70","793.20","1,138.00","562.50",149983,"118,966,061.70",5888
"03-Nov-2021","EQ","781.10","784.10","770.00","778.40","772.00","775.60","777.34","1,138.00","562.50",248602,"193,247,889.50",11773
"02-Nov-2021","EQ","789.00","793.00","774.95","787.65","777.95","778.40","783.68","1,138.00","562.50",352254,"276,054,916.10",17618
"01-Nov-2021","EQ","800.00","804.00","783.20","797.55","786.00","787.65","791.92","1,138.00","562.50",223119,"176,691,721.25",10786
"29-Oct-2021","EQ","804.35","807.95","783.00","804.35","798.00","797.55","796.56","1,138.00","562.50",273623,"217,957,000.60",13829
"28-Oct-2021","EQ","821.30","829.05","800.00","821.30","804.50","804.35","810.70","1,138.00","562.50",228224,"185,020,622.75",10561
"27-Oct-2021","EQ","841.00","844.15","815.50","839.50","822.50","821.30","826.58","1,138.00","562.50",266382,"220,185,297.90",10898
"26-Oct-2021","EQ","810.00","845.00","803.50","802.90","839.10","839.50","828.79","1,138.00","562.50",410198,"339,967,102.85",15718
"25-Oct-2021","EQ","834.90","834.90","792.35","821.15","800.00","802.90","805.54","1,138.00","562.50",457862,"368,826,502.90",21178
"22-Oct-2021","EQ","869.40","884.70","798.05","866.80","823.80","821.15","823.48","1,138.00","473.60",1132674,"932,730,586.60",46243
"21-Oct-2021","EQ","867.00","881.00","855.25","882.85","865.80","866.80","868.43","1,138.00","473.60",526931,"457,604,343.25",26176
"20-Oct-2021","EQ","911.95","922.00","875.10","911.95","887.15","882.85","897.86","1,138.00","473.60",567403,"509,447,110.00",24947
